route_id,route_short_name,route_desc,route_type
A83,A83,TERMINAL CALIPSO - EL POBLADO - TERMINAL ANDRÉS SANÍN,3
C302,C302,ESTACIÓN CHIMINANGOS - CENTRO - TERMINAL MENGA,2
C320,C320,TERMINAL PASO DEL COMERCIO - TERMINAL MENGA - CENTRO,2
C417,C417,TERMINAL ANDRÉS SANÍN - TERMINAL AGUABLANCA - AV. CIUDAD DE CALI - UNIVERSIDADES - ESTACIÓN UNIDAD DEPORTIVA,2
C471,C471,TERMINAL ANDRÉS SANÍN - ESTACIÓN UNIDAD DEPORTIVA - UNIVERSIDADES - AV. CIUDAD DE CALI - TERMINAL AGUABLANCA,2
C502,C502,TERMINAL AGUABLANCA - CENTRO - TERMINAL MENGA - TERMINAL ANDRÉS SANÍN,2
C520,C520,TERMINAL AGUABLANCA - TERMINAL ANDRÉS SANÍN - TERMINAL MENGA - CENTRO,2
E21,E21,TERMINAL MENGA - CENTRO - UNIVERSIDADES,1
E27,E27,TERMINAL MENGA - CAM - COMFENALCO - ESTACIÓN CAPRI,1
P14A,P14A,UNIVERSIDADES - AV. CIUDAD DE CALI - TERMINAL AGUABLANCA - TERMINAL ANDRÉS SANÍN,2
P21A,P21A,UNIVERSIDADES - CIUDAD CÓRDOBA - CENTRO - ESTACIÓN LAS AMÉRICAS,2
P21B,P21B,TERMINAL MENGA - AUTOPISTA ORIENTAL - TERMINAL SIMÓN BOLÍVAR - UNIVERSIDADES,2
P21C,P21C,TERMINAL MENGA - AUTOPISTA SUR - ESTACIÓN CAPRI - ESTACIÓN BUITRERA,2
P21E,P21E,TERMINAL MENGA - AV. SEXTA - CENTRO - AV. PASOANCHO - CAPRI - UNIVERSIDADES,2
P24B,P24B,CENTRO - AVENIDA SEXTA - BASE AÉREA - TERMINAL ANDRÉS SANÍN,2
P24B,P24B,CENTRO - AVENIDA SEXTA - CALLE 44 - CARRERA 8 - TERMINAL ANDRÉS SANÍN,2
P27D,P27D,TERMINAL MENGA - AVENIDA SEXTA - CENTRO - AV. ROOSEVELT - ESTACIÓN CAPRI,2
P30B,P30B,CIUDADELA FLORALIA - POPULAR - CAM - CENTRO,2
P40A,P40A,TERMINAL ANDRÉS SANÍN - CARRERA OCTAVA - BASE AÉREA - CENTRO,2
P40A,P40A,TERMINAL ANDRÉS SANÍN - CARRERA OCTAVA - CENTRO,2
P40B,P40B,TERMINAL ANDRÉS SANÍN - SENA SALOMIA - OUTLET UNICO - CENTRO,2
P42,P42,TERMINAL ANDRÉS SANÍN - AV. CIUDAD DE CALI - TERMINAL MENGA,2
P47A,P47A,TERMINAL ANDRÉS SANÍN - TERMINAL AGUABLANCA - EL RETIRO - EL GUABAL - ESTACIÓN UNIDAD DEPORTIVA,2
P47B,P47B,TERMINAL ANDRÉS SANÍN - TERMINAL SIMÓN BOLÍVAR - ESTACIÓN UNIDAD DEPORTIVA,2
P51A,P51A,TERMINAL AGUABLANCA - TERMINAL SIMÓN BOLÍVAR - UNIVERSIDADES - P.U.J - U.S.B - ICESI,2
